CODE	LOGCOST	OUTPUT	PLANES	WAGES	FUEL	MATERIAL	STGLEN	LOADF	DBTWGT	BNKDBT	VRTBL	VRTBLE	MGRSHR	FCFPCT	TIME	SUBJECT
AL75	12.91365	13.53855	5.95705	2.9785	-1.31525	3.01593	229.2	0.533	0.84253	0.60842	0.10472	0.00102	0.00973	0.03276	6	12
AL76	13.02711	13.59705	5.98654	3.05965	-1.12994	3.07175	232.60001	0.545	0.79579	0.71423	0.17339	0.00189	0.0109	0.07242	7	12
AL77	13.1574	13.61922	6.27542	3.19342	-0.99192	3.10929	235.2	0.555	0.75074	0.73756	0.19792	0.00258	0.01305	0.07474	8	12
AL78	13.26667	13.64653	6.68337	3.26288	-0.92327	3.08629	242.5	0.608	0.70218	0.43343	0.01596	0.00015	0.00916	0.0787	9	12
AL79	13.48828	13.76978	6.6223	3.34717	-0.58283	3.22248	284.10001	0.645	0.68365	0	0.01214	0.00016	0.01335	0.09929	10	12
AL80	13.75245	13.88863	6.79213	3.43411	-0.14224	3.37547	306.10001	0.55	0.6846	0	0.28048	0.00433	0.01544	0.12094	11	12
FR70	11.47731	12.63504	5.3862	2.39442	-2.1154	2.47724	165.7	0.438	0.99201	1	0.36546	0.00009	0.00024	0.0183	1	13
FR71	11.53821	12.58498	5.57505	2.55	-2.13245	2.53056	165.8	0.458	1.01758	1	0.4156	-0.00018	-0.00043	0.05048	2	13
FR72	11.57061	12.5007	5.61786	2.57657	-2.13564	2.553	168.3	0.519	0.91762	0.10987	0.50862	0.00162	0.00318	0.16855	3	13
FR73	11.73517	12.6515	5.71418	2.64468	-2.02528	2.65384	179	0.529	0.83277	0	0.58649	0.00389	0.00663	0.14326	4	13
FR74	11.91139	12.66122	5.84217	2.77119	-1.39381	2.76109	187.7	0.559	0.7722	0	0.61902	0.00647	0.01045	0.14231	5	13
FR75	12.03524	12.71301	5.96896	2.88056	-1.2606	2.8587	193.7	0.558	0.72299	0	0.62055	0.00994	0.01602	0.13126	6	13
FR76	12.15256	12.83607	5.59876	2.98037	-1.12821	2.95176	201.10001	0.569	0.68454	0.01919	0.63852	0.0113	0.0177	0.16472	7	13
FR77	12.34536	12.93034	6.25414	3.06942	-1.00522	2.9128	215.2	0.583	0.65363	0.18263	0.53343	0.01017	0.01907	0.16077	8	13
FR78	12.58811	13.08616	6.2714	3.01207	-0.90235	3.12809	230.2	0.632	0.68852	0.62244	0.29355	0.00572	0.01948	0.16587	9	13
FR79	12.84191	13.32348	6.40498	3.21401	-0.54818	3.13483	259.39999	0.609	0.66921	0.76598	0.18169	0.00135	0.00745	0.1634	10	13
FR80	13.04254	13.34635	6.63189	3.28277	-0.14462	3.33427	282.60001	0.593	0.65403	0.81119	0.13939	0.0018	0.01291	0.15521	11	13
MO70	11.11529	11.89443	5.02441	2.21423	-2.06005	4.33713	163	0.463	0.99448	0.0505	0	0	0.00016	-0.03402	1	14
MO71	11.0028	11.73156	5.11025	2.64403	-2.02117	1.98536	180.10001	0.453	1.00001	0	0	0	-0	0.05298	2	14
NC70	11.40376	12.37737	5.30301	2.40987	-2.10053	2.44051	120.5	0.44	0.82762	0	0.01437	0.00014	0.00971	0.10086	1	14
NC71	11.52584	12.43164	5.57222	2.53919	-2.04293	2.59799	125.3	0.435	0.71156	0	0.01663	0.00025	0.01485	0.10506	2	14
NC72	11.62166	12.49376	5.56861	2.6122	-2.11775	2.71647	127.3	0.503	0.65911	0.14557	0.01988	0.00033	0.01659	0.14913	3	14
NC73	11.71085	12.53459	5.63475	2.70021	-2.06188	2.70356	130.10001	0.473	0.64705	0.04042	0.01641	0.00027	0.01654	0.13026	4	14
NC74	11.87006	12.53975	5.834	2.77441	-1.66888	2.8389	130.10001	0.493	0.60275	0	0.02114	0.0004	0.01912	0.15394	5	14
NC75	12.03105	12.57723	5.91051	2.88584	-1.18204	2.91861	131.7	0.48	0.62305	0	0.01635	0.0003	0.01847	0.11057	6	14
NC76	12.16785	12.66201	5.95094	2.96941	-1.14136	3.02869	132.39999	0.482	0.679	0.08866	0.0093	0.00015	0.01609	0.10601	7	14
NC77	12.33538	12.81064	6.29625	3.1614	-0.99441	2.95657	141.8	0.487	0.67694	0	0.00869	0.00014	0.01558	0.12712	8	14
NC78	12.59428	12.96679	6.64154	3.20258	-0.91277	3.22014	147.60001	0.555	0.70423	0	0	0	0.01843	0.13285	9	14
OZ70	11.15028	12.0106	5.40238	2.40622	-2.16603	2.49267	149.3	0.434	0.91595	0	0.43133	0.00412	0.00954	0.04125	1	15
OZ71	11.2851	12.16435	5.68854	2.5584	-2.12161	2.53229	148.39999	0.471	0.80937	0	0.47851	0.0071	0.01484	0.10711	2	15
OZ72	11.40092	12.20614	5.53141	2.63852	-2.139	2.52767	150.10001	0.49	0.76629	0.40309	0.51859	0.00894	0.01724	0.10298	3	15
OZ74	11.68549	12.2618	5.86941	2.78602	-1.48052	2.65637	153.39999	0.502	0.77971	0.44189	0.45218	0.00566	0.01251	0.0809	5	15
OZ75	11.85682	12.4267	5.96284	2.91174	-1.22101	2.79285	160.39999	0.491	0.78678	0.43161	0.45592	0.00424	0.00929	0.06672	6	15
OZ76	12.00277	12.56417	6.00789	2.93157	-1.13597	2.93442	173.7	0.513	0.74209	0.78438	0.50882	0.00722	0.01418	0.12646	7	15
OZ77	12.19643	12.69548	6.37255	3.07543	-0.98701	3.0363	183.7	0.511	0.73775	0.59175	0.36406	0.00593	0.0163	0.11556	8	15
OZ78	12.39179	12.81602	6.76098	3.19432	-0.92981	3.04635	195.89999	0.551	0.75476	0.85393	0.32157	0.01934	0.06015	0.11157	9	15
OZ80	12.71379	12.91484	7.10234	3.30679	-0.12998	3.21513	269.5	0.528	0.82363	0.51173	0.20581	0.0074	0.03596	0.03764	11	15
PD70	11.1391	12.17329	5.20394	2.20723	-2.12483	1.9991	129.8	0.449	0.95903	0.13055	0.19211	0.00101	0.00524	0.05697	1	15
PD71	11.24744	12.16686	5.31333	2.34775	-2.10533	2.13784	131.89999	0.476	0.95039	0.10003	0.20885	0.00116	0.00557	0.08068	2	16
PD72	11.3851	12.2407	5.62819	2.50279	-2.13363	2.31893	138.8	0.501	0.92049	0	0.21426	0.00188	0.00877	0.10031	3	16
PD73	11.5487	12.37292	5.74236	2.56991	-2.07581	2.44193	148.7	0.5	0.89653	0	0.22404	0.00238	0.0106	0.10916	4	16
PD74	11.73957	12.42447	5.86413	2.65513	-1.61852	2.59191	159.10001	0.529	0.85764	0	0.23191	0.00399	0.0172	0.13117	5	16
PD75	11.86619	12.45744	6.00378	2.80281	-1.15812	2.79326	161.60001	0.496	0.84873	0	0.26512	0.00524	0.01975	0.09307	6	16
PD76	11.90726	12.50471	5.57384	2.90895	-1.10847	2.84365	166.7	0.51	0.81759	0	0.28604	0.00568	0.01986	0.12254	7	16
PD77	12.12313	12.58601	6.28642	3.13292	-0.99334	2.88552	169.3	0.518	0.81945	0	0.20394	0.00469	0.023	0.1176	8	16
PD78	12.28854	12.68035	6.41768	3.14969	-0.93104	3.0335	180.7	0.547	0.80386	0.06862	0.15501	0.00416	0.02681	0.10161	9	16
PD79	12.60136	12.92878	6.60109	3.12099	-0.55138	3.04526	216.8	0.554	0.79889	0	0.28766	0.00636	0.02211	0.11172	10	16
PD80	12.92139	13.24894	6.81479	3.26189	-0.11395	3.24264	258.39999	0.518	0.74208	0	0.25989	0.00773	0.02975	0.11331	11	16
RE79	13.34908	13.05443	6.60948	3.19855	-0.57116	3.1541	203.2	0.514	0.73513	0.5723	0	0	0.02577	0.04072	10	17
RE80	13.66626	13.88826	6.72454	2.90885	-0.12487	2.92614	217.5	0.467	0.88649	0.76883	0.02805	0.00028	0.00986	-0.00727	11	17
SO70	10.93793	11.92421	5.24142	2.402	-2.09033	2.59121	143.10001	0.388	0.97404	0.32088	0.57411	0.00387	0.00674	-0.01991	1	18
SO71	11.11076	12.01725	5.52354	2.3739	-2.0007	2.66456	144.2	0.432	0.94021	0.43068	0.59773	0.00946	0.01583	0.0462	2	18
SO72	11.18603	12.07683	5.58904	2.56735	-2.06946	2.61849	143.89999	0.48	0.8587	0.4355	0.68261	0.02149	0.03148	0.09623	3	18
SO73	11.40323	12.31985	5.64609	2.5738	-2.06769	2.6846	162.2	0.453	0.89919	0	0.26812	0.00598	0.0223	0.02659	4	18
SO74	11.61843	12.32839	5.91964	2.6689	-1.49583	2.7758	165	0.522	0.85054	0.72268	0.27732	0.00856	0.03086	0.09667	5	18
SO75	11.74209	12.38587	6.06145	2.8174	-1.25174	2.9056	174.5	0.515	0.80881	0.72268	0.26547	0.00981	0.03696	0.1081	6	18
SO76	11.90716	12.50396	6.1103	2.87454	-1.167	3.03672	180.89999	0.519	0.81354	0.12937	0.30101	0.01141	0.03791	0.07988	7	18
SO77	12.02176	12.56723	6.29221	3.10889	-1.02517	3.06836	187	0.52	0.79949	0.34353	0.21369	0.0086	0.04024	0.09411	8	18
SO78	12.20342	12.73303	6.80656	3.01622	-0.96854	3.09742	206.5	0.548	0.80363	0	0.19159	0.0069	0.03604	0.10171	9	18
TI70	11.13989	12.20746	5.21289	2.44904	-2.13293	2.54664	160.10001	0.412	1.00001	0	0	0	-0	0.00414	1	19
TI71	11.24857	12.12991	5.44759	2.60362	-2.03569	2.69987	161.3	0.472	1.00002	0	0	0	-0.00001	-0.53177	2	19
TI72	11.24856	12.0082	5.40993	2.61351	-1.99503	2.77714	166.89999	0.499	0.88771	0	0	0	0.03631	0.05324	3	19
TI73	11.30418	12.14223	5.50789	2.71537	-2.1975	2.65635	196.7	0.459	0.86748	0	0	0	0.05193	0.06629	4	19
TI76	11.74362	12.27639	5.79438	2.93604	-1.143	3.02765	239.60001	0.536	0.89672	0	0	0	0.04411	0.11398	7	19
TI77	11.92932	12.49893	6.03957	3.11262	-1.01838	3.03275	260.5	0.577	0.85518	0	0	0	0.053	0.11574	8	19
TI78	12.13494	12.71973	6.77923	3.10172	-0.92697	3.02988	304.5	0.6	0.79183	0	0.26685	0.00621	0.02328	0.05524	9	19
TI79	12.37927	12.98042	6.7762	3.17743	-0.55764	3.12667	383	0.621	0.76745	0	0.15675	0.00368	0.02347	0.01175	10	19
TI80	12.65149	13.09039	6.85775	3.33135	-0.13492	3.31481	399.89999	0.575	0.78375	0	0.39922	0.00361	0.00904	0.00862	11	19
